POKEID;NAME;TYPE;TOTAL;HP;ATTACK;DEFENSE;SP_ATK;SP_DEF;SPEED;ICONS
0001;Bulbasaur;['Grass', 'Poison'];318;45;49;49;65;65;45;['https://img.pokemondb.net/sprites/scarlet-violet/icon/bulbasaur.png']
0002;Ivysaur;['Grass', 'Poison'];405;60;62;63;80;80;60;['https://img.pokemondb.net/sprites/scarlet-violet/icon/ivysaur.png']
0003;Venusaur;['Grass', 'Poison'];525;80;82;83;100;100;80;['https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur.png']
0003;Venusaur Mega Venusaur;['Grass', 'Poison'];625;80;100;123;122;120;80;['https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur-mega.png']
0004;Charmander;['Fire'];309;39;52;43;60;50;65;['https://img.pokemondb.net/sprites/scarlet-violet/icon/charmander.png']
0005;Charmeleon;['Fire'];405;58;64;58;80;65;80;['https://img.pokemondb.net/sprites/scarlet-violet/icon/charmeleon.png']
0006;Charizard;['Fire', 'Flying'];534;78;84;78;109;85;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard.png']
0006;Charizard Mega Charizard X;['Fire', 'Dragon'];634;78;130;111;130;85;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard-mega-x.png']
0006;Charizard Mega Charizard Y;['Fire', 'Flying'];634;78;104;78;159;115;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard-mega-y.png']
0007;Squirtle;['Water'];314;44;48;65;50;64;43;['https://img.pokemondb.net/sprites/scarlet-violet/icon/squirtle.png']
0008;Wartortle;['Water'];405;59;63;80;65;80;58;['https://img.pokemondb.net/sprites/scarlet-violet/icon/wartortle.png']
0009;Blastoise;['Water'];530;79;83;100;85;105;78;['https://img.pokemondb.net/sprites/scarlet-violet/icon/blastoise.png']
0009;Blastoise Mega Blastoise;['Water'];630;79;103;120;135;115;78;['https://img.pokemondb.net/sprites/scarlet-violet/icon/blastoise-mega.png']
0010;Caterpie;['Bug'];195;45;30;35;20;20;45;['https://img.pokemondb.net/sprites/scarlet-violet/icon/caterpie.png']
0011;Metapod;['Bug'];205;50;20;55;25;25;30;['https://img.pokemondb.net/sprites/scarlet-violet/icon/metapod.png']
0012;Butterfree;['Bug', 'Flying'];395;60;45;50;90;80;70;['https://img.pokemondb.net/sprites/scarlet-violet/icon/butterfree.png']
0013;Weedle;['Bug', 'Poison'];195;40;35;30;20;20;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/weedle.png']
0014;Kakuna;['Bug', 'Poison'];205;45;25;50;25;25;35;['https://img.pokemondb.net/sprites/scarlet-violet/icon/kakuna.png']
0015;Beedrill;['Bug', 'Poison'];395;65;90;40;45;80;75;['https://img.pokemondb.net/sprites/scarlet-violet/icon/beedrill.png']
0015;Beedrill Mega Beedrill;['Bug', 'Poison'];495;65;150;40;15;80;145;['https://img.pokemondb.net/sprites/scarlet-violet/icon/beedrill-mega.png']
0016;Pidgey;['Normal', 'Flying'];251;40;45;40;35;35;56;['https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgey.png']
0017;Pidgeotto;['Normal', 'Flying'];349;63;60;55;50;50;71;['https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeotto.png']
0018;Pidgeot;['Normal', 'Flying'];479;83;80;75;70;70;101;['https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeot.png']
0018;Pidgeot Mega Pidgeot;['Normal', 'Flying'];579;83;80;80;135;80;121;['https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeot-mega.png']
0019;Rattata;['Normal'];253;30;56;35;25;35;72;['https://img.pokemondb.net/sprites/scarlet-violet/icon/rattata.png']
0019;Rattata Alolan Rattata;['Dark', 'Normal'];253;30;56;35;25;35;72;['https://img.pokemondb.net/sprites/scarlet-violet/icon/rattata-alolan.png']
0020;Raticate;['Normal'];413;55;81;60;50;70;97;['https://img.pokemondb.net/sprites/scarlet-violet/icon/raticate.png']
0020;Raticate Alolan Raticate;['Dark', 'Normal'];413;75;71;70;40;80;77;['https://img.pokemondb.net/sprites/scarlet-violet/icon/raticate-alolan.png']
0021;Spearow;['Normal', 'Flying'];262;40;60;30;31;31;70;['https://img.pokemondb.net/sprites/scarlet-violet/icon/spearow.png']
0022;Fearow;['Normal', 'Flying'];442;65;90;65;61;61;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/fearow.png']
0023;Ekans;['Poison'];288;35;60;44;40;54;55;['https://img.pokemondb.net/sprites/scarlet-violet/icon/ekans.png']
0024;Arbok;['Poison'];448;60;95;69;65;79;80;['https://img.pokemondb.net/sprites/scarlet-violet/icon/arbok.png']
0025;Pikachu;['Electric'];320;35;55;40;50;50;90;['https://img.pokemondb.net/sprites/scarlet-violet/icon/pikachu.png']
0025;Pikachu Partner Pikachu;['Electric'];430;45;80;50;75;60;120;['https://img.pokemondb.net/sprites/scarlet-violet/icon/pikachu-lets-go.png']
0026;Raichu;['Electric'];485;60;90;55;90;80;110;['https://img.pokemondb.net/sprites/scarlet-violet/icon/raichu.png']
0026;Raichu Alolan Raichu;['Electric', 'Psychic'];485;60;85;50;95;85;110;['https://img.pokemondb.net/sprites/scarlet-violet/icon/raichu-alolan.png']
0027;Sandshrew;['Ground'];300;50;75;85;20;30;40;['https://img.pokemondb.net/sprites/scarlet-violet/icon/sandshrew.png']
0027;Sandshrew Alolan Sandshrew;['Ice', 'Steel'];300;50;75;90;10;35;40;['https://img.pokemondb.net/sprites/scarlet-violet/icon/sandshrew-alolan.png']
0028;Sandslash;['Ground'];450;75;100;110;45;55;65;['https://img.pokemondb.net/sprites/scarlet-violet/icon/sandslash.png']
0028;Sandslash Alolan Sandslash;['Ice', 'Steel'];450;75;100;120;25;65;65;['https://img.pokemondb.net/sprites/scarlet-violet/icon/sandslash-alolan.png']
0029;Nidoran♀;['Poison'];275;55;47;52;40;40;41;['https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoran-f.png']
0030;Nidorina;['Poison'];365;70;62;67;55;55;56;['https://img.pokemondb.net/sprites/scarlet-violet/icon/nidorina.png']
0031;Nidoqueen;['Poison', 'Ground'];505;90;92;87;75;85;76;['https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoqueen.png']
0032;Nidoran♂;['Poison'];273;46;57;40;40;40;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoran-m.png']
0033;Nidorino;['Poison'];365;61;72;57;55;55;65;['https://img.pokemondb.net/sprites/scarlet-violet/icon/nidorino.png']
0034;Nidoking;['Poison', 'Ground'];505;81;102;77;85;75;85;['https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoking.png']
0035;Clefairy;['Fairy'];323;70;45;48;60;65;35;['https://img.pokemondb.net/sprites/scarlet-violet/icon/clefairy.png']
0036;Clefable;['Fairy'];483;95;70;73;95;90;60;['https://img.pokemondb.net/sprites/scarlet-violet/icon/clefable.png']
0037;Vulpix;['Fire'];299;38;41;40;50;65;65;['https://img.pokemondb.net/sprites/scarlet-violet/icon/vulpix.png']
0037;Vulpix Alolan Vulpix;['Ice'];299;38;41;40;50;65;65;['https://img.pokemondb.net/sprites/scarlet-violet/icon/vulpix-alolan.png']
0038;Ninetales;['Fire'];505;73;76;75;81;100;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/ninetales.png']
0038;Ninetales Alolan Ninetales;['Ice', 'Fairy'];505;73;67;75;81;100;109;['https://img.pokemondb.net/sprites/scarlet-violet/icon/ninetales-alolan.png']
0039;Jigglypuff;['Normal', 'Fairy'];270;115;45;20;45;25;20;['https://img.pokemondb.net/sprites/scarlet-violet/icon/jigglypuff.png']
0040;Wigglytuff;['Normal', 'Fairy'];435;140;70;45;85;50;45;['https://img.pokemondb.net/sprites/scarlet-violet/icon/wigglytuff.png']
0041;Zubat;['Poison', 'Flying'];245;40;45;35;30;40;55;['https://img.pokemondb.net/sprites/scarlet-violet/icon/zubat.png']
0042;Golbat;['Poison', 'Flying'];455;75;80;70;65;75;90;['https://img.pokemondb.net/sprites/scarlet-violet/icon/golbat.png']
0043;Oddish;['Grass', 'Poison'];320;45;50;55;75;65;30;['https://img.pokemondb.net/sprites/scarlet-violet/icon/oddish.png']
0044;Gloom;['Grass', 'Poison'];395;60;65;70;85;75;40;['https://img.pokemondb.net/sprites/scarlet-violet/icon/gloom.png']
0045;Vileplume;['Grass', 'Poison'];490;75;80;85;110;90;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/vileplume.png']
0046;Paras;['Bug', 'Grass'];285;35;70;55;45;55;25;['https://img.pokemondb.net/sprites/scarlet-violet/icon/paras.png']
0047;Parasect;['Bug', 'Grass'];405;60;95;80;60;80;30;['https://img.pokemondb.net/sprites/scarlet-violet/icon/parasect.png']
0048;Venonat;['Bug', 'Poison'];305;60;55;50;40;55;45;['https://img.pokemondb.net/sprites/scarlet-violet/icon/venonat.png']
0049;Venomoth;['Bug', 'Poison'];450;70;65;60;90;75;90;['https://img.pokemondb.net/sprites/scarlet-violet/icon/venomoth.png']
0050;Diglett;['Ground'];265;10;55;25;35;45;95;['https://img.pokemondb.net/sprites/scarlet-violet/icon/diglett.png']
0050;Diglett Alolan Diglett;['Ground', 'Steel'];265;10;55;30;35;45;90;['https://img.pokemondb.net/sprites/scarlet-violet/icon/diglett-alolan.png']
0051;Dugtrio;['Ground'];425;35;100;50;50;70;120;['https://img.pokemondb.net/sprites/scarlet-violet/icon/dugtrio.png']
0051;Dugtrio Alolan Dugtrio;['Ground', 'Steel'];425;35;100;60;50;70;110;['https://img.pokemondb.net/sprites/scarlet-violet/icon/dugtrio-alolan.png']
0052;Meowth;['Normal'];290;40;45;35;40;40;90;['https://img.pokemondb.net/sprites/scarlet-violet/icon/meowth.png']
0052;Meowth Alolan Meowth;['Dark'];290;40;35;35;50;40;90;['https://img.pokemondb.net/sprites/scarlet-violet/icon/meowth-alolan.png']
0052;Meowth Galarian Meowth;['Steel'];290;50;65;55;40;40;40;['https://img.pokemondb.net/sprites/scarlet-violet/icon/meowth-galarian.png']
0053;Persian;['Normal'];440;65;70;60;65;65;115;['https://img.pokemondb.net/sprites/scarlet-violet/icon/persian.png']
0053;Persian Alolan Persian;['Dark'];440;65;60;60;75;65;115;['https://img.pokemondb.net/sprites/scarlet-violet/icon/persian-alolan.png']
0054;Psyduck;['Water'];320;50;52;48;65;50;55;['https://img.pokemondb.net/sprites/scarlet-violet/icon/psyduck.png']
0055;Golduck;['Water'];500;80;82;78;95;80;85;['https://img.pokemondb.net/sprites/scarlet-violet/icon/golduck.png']
0056;Mankey;['Fighting'];305;40;80;35;35;45;70;['https://img.pokemondb.net/sprites/scarlet-violet/icon/mankey.png']
0057;Primeape;['Fighting'];455;65;105;60;60;70;95;['https://img.pokemondb.net/sprites/scarlet-violet/icon/primeape.png']
0058;Growlithe;['Fire'];350;55;70;45;70;50;60;['https://img.pokemondb.net/sprites/scarlet-violet/icon/growlithe.png']
0058;Growlithe Hisuian Growlithe;['Fire', 'Rock'];350;60;75;45;65;50;55;['https://img.pokemondb.net/sprites/scarlet-violet/icon/growlithe-hisuian.png']
0059;Arcanine;['Fire'];555;90;110;80;100;80;95;['https://img.pokemondb.net/sprites/scarlet-violet/icon/arcanine.png']
0059;Arcanine Hisuian Arcanine;['Fire', 'Rock'];555;95;115;80;95;80;90;['https://img.pokemondb.net/sprites/scarlet-violet/icon/arcanine-hisuian.png']
0060;Poliwag;['Water'];300;40;50;40;40;40;90;['https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwag.png']
0061;Poliwhirl;['Water'];385;65;65;65;50;50;90;['https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwhirl.png']
0062;Poliwrath;['Water', 'Fighting'];510;90;95;95;70;90;70;['https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwrath.png']
0063;Abra;['Psychic'];310;25;20;15;105;55;90;['https://img.pokemondb.net/sprites/scarlet-violet/icon/abra.png']
0064;Kadabra;['Psychic'];400;40;35;30;120;70;105;['https://img.pokemondb.net/sprites/scarlet-violet/icon/kadabra.png']
0065;Alakazam;['Psychic'];500;55;50;45;135;95;120;['https://img.pokemondb.net/sprites/scarlet-violet/icon/alakazam.png']
0065;Alakazam Mega Alakazam;['Psychic'];600;55;50;65;175;105;150;['https://img.pokemondb.net/sprites/scarlet-violet/icon/alakazam-mega.png']
0066;Machop;['Fighting'];305;70;80;50;35;35;35;['https://img.pokemondb.net/sprites/scarlet-violet/icon/machop.png']
0067;Machoke;['Fighting'];405;80;100;70;50;60;45;['https://img.pokemondb.net/sprites/scarlet-violet/icon/machoke.png']
0068;Machamp;['Fighting'];505;90;130;80;65;85;55;['https://img.pokemondb.net/sprites/scarlet-violet/icon/machamp.png']
0069;Bellsprout;['Grass', 'Poison'];300;50;75;35;70;30;40;['https://img.pokemondb.net/sprites/scarlet-violet/icon/bellsprout.png']
0070;Weepinbell;['Grass', 'Poison'];390;65;90;50;85;45;55;['https://img.pokemondb.net/sprites/scarlet-violet/icon/weepinbell.png']
0071;Victreebel;['Grass', 'Poison'];490;80;105;65;100;70;70;['https://img.pokemondb.net/sprites/scarlet-violet/icon/victreebel.png']
0072;Tentacool;['Water', 'Poison'];335;40;40;35;50;100;70;['https://img.pokemondb.net/sprites/scarlet-violet/icon/tentacool.png']
0073;Tentacruel;['Water', 'Poison'];515;80;70;65;80;120;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/tentacruel.png']
0074;Geodude;['Rock', 'Ground'];300;40;80;100;30;30;20;['https://img.pokemondb.net/sprites/scarlet-violet/icon/geodude.png']
0074;Geodude Alolan Geodude;['Rock', 'Electric'];300;40;80;100;30;30;20;['https://img.pokemondb.net/sprites/scarlet-violet/icon/geodude-alolan.png']
0075;Graveler;['Rock', 'Ground'];390;55;95;115;45;45;35;['https://img.pokemondb.net/sprites/scarlet-violet/icon/graveler.png']
0075;Graveler Alolan Graveler;['Rock', 'Electric'];390;55;95;115;45;45;35;['https://img.pokemondb.net/sprites/scarlet-violet/icon/graveler-alolan.png']
0076;Golem;['Rock', 'Ground'];495;80;120;130;55;65;45;['https://img.pokemondb.net/sprites/scarlet-violet/icon/golem.png']
0076;Golem Alolan Golem;['Rock', 'Electric'];495;80;120;130;55;65;45;['https://img.pokemondb.net/sprites/scarlet-violet/icon/golem-alolan.png']
0077;Ponyta;['Fire'];410;50;85;55;65;65;90;['https://img.pokemondb.net/sprites/scarlet-violet/icon/ponyta.png']
0077;Ponyta Galarian Ponyta;['Psychic'];410;50;85;55;65;65;90;['https://img.pokemondb.net/sprites/scarlet-violet/icon/ponyta-galarian.png']
0078;Rapidash;['Fire'];500;65;100;70;80;80;105;['https://img.pokemondb.net/sprites/scarlet-violet/icon/rapidash.png']
